"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 06","5,928.33","5,833.40","5,982.50","5,654.60","28.21B","1.63%"
"Jun 06","5,833.42","5,723.80","5,865.70","5,467.40","36.02B","1.91%"
"May 06","5,723.81","6,023.10","6,133.50","5,510.50","40.05B","-4.97%"
"Apr 06","6,023.14","5,964.60","6,137.10","5,964.60","30.78B","0.98%"
"Mar 06","5,964.57","5,791.50","6,047.00","5,783.90","44.16B","2.99%"
"Feb 06","5,791.54","5,760.30","5,893.30","5,681.90","37.36B","0.54%"
"Jan 06","5,760.26","5,618.80","5,796.10","5,618.80","39.16B","2.52%"
"Dec 05","5,618.76","5,423.20","5,647.20","5,423.20","28.94B","3.61%"
"Nov 05","5,423.17","5,317.30","5,554.90","5,304.90","39.10B","1.99%"
"Oct 05","5,317.28","5,477.70","5,515.00","5,130.90","34.39B","-2.93%"
"Sep 05","5,477.71","5,296.90","5,508.40","5,296.90","32.55B","3.41%"
"Aug 05","5,296.92","5,282.30","5,386.40","5,228.10","28.55B","0.28%"
"Jul 05","5,282.30","5,113.20","5,308.60","5,022.10","35.91B","3.31%"
"Jun 05","5,113.16","4,964.00","5,138.20","4,964.00","33.01B","3.01%"
"May 05","4,963.97","4,801.70","5,004.30","4,801.70","30.84B","3.38%"
"Apr 05","4,801.68","4,894.40","4,994.10","4,773.70","32.55B","-1.89%"
"Mar 05","4,894.37","4,968.50","5,042.00","4,886.50","34.74B","-1.49%"
"Feb 05","4,968.50","4,852.30","5,077.80","4,852.30","33.00B","2.39%"
"Jan 05","4,852.31","4,814.30","4,879.50","4,765.40","31.49B","0.79%"
"Dec 04","4,814.30","4,703.20","4,826.20","4,675.00","28.45B","2.36%"
"Nov 04","4,703.18","4,624.20","4,823.80","4,624.20","33.89B","1.71%"
"Oct 04","4,624.21","4,570.80","4,732.90","4,551.60","32.88B","1.17%"
"Sep 04","4,570.77","4,459.30","4,630.70","4,459.30","35.56B","2.50%"
"Aug 04","4,459.32","4,413.10","4,490.10","4,283.00","28.68B","1.05%"
"Jul 04","4,413.08","4,464.10","4,487.90","4,283.20","34.56B","-1.14%"
"Jun 04","4,464.07","4,430.70","4,535.10","4,400.70","33.64B","0.75%"
"May 04","4,430.69","4,489.70","4,573.70","4,363.00","32.74B","-1.31%"
"Apr 04","4,489.69","4,385.70","4,601.60","4,385.10","32.76B","2.37%"
"Mar 04","4,385.67","4,492.20","4,566.20","4,291.30","42.62B","-2.37%"
"Feb 04","4,492.21","4,390.70","4,556.90","4,357.40","40.25B","2.31%"
"Jan 04","4,390.68","4,476.90","4,531.40","4,390.70","39.87B","-1.93%"
"Dec 03","4,476.87","4,342.60","4,491.80","4,312.50","29.99B","3.09%"
"Nov 03","4,342.60","4,287.60","4,423.60","4,270.50","34.78B","1.28%"
"Oct 03","4,287.59","4,091.30","4,393.80","4,091.30","40.57B","4.80%"
"Sep 03","4,091.31","4,161.10","4,329.60","4,081.80","40.70B","-1.68%"
"Aug 03","4,161.06","4,157.00","4,286.90","4,044.90","29.67B","0.10%"
"Jul 03","4,157.00","4,031.20","4,183.00","3,951.50","-","3.12%"
"Jun 03","4,031.20","4,048.10","4,218.80","4,021.60","-","-0.42%"
"May 03","4,048.10","3,926.00","4,096.00","3,875.30","-","3.11%"
"Apr 03","3,926.00","3,613.30","3,997.30","3,612.30","-","8.65%"
"Mar 03","3,613.30","3,655.60","3,881.70","3,277.50","-","-1.16%"
"Feb 03","3,655.60","3,567.40","3,747.00","3,535.10","-","2.47%"
"Jan 03","3,567.40","3,940.40","4,027.60","3,391.50","-","-9.47%"
"Dec 02","3,940.40","4,169.40","4,218.60","3,803.40","-","-5.49%"
"Nov 02","4,169.40","4,039.70","4,224.80","3,953.30","-","3.21%"
"Oct 02","4,039.70","3,721.80","4,197.50","3,663.40","-","8.54%"
"Sep 02","3,721.80","4,227.30","4,246.40","3,609.90","-","-11.96%"
"Aug 02","4,227.30","4,246.20","4,466.40","3,900.70","-","-0.45%"
"Jul 02","4,246.20","4,656.40","4,708.70","3,625.90","-","-8.81%"
"Jun 02","4,656.40","5,085.10","5,085.10","4,442.90","-","-8.43%"
"May 02","5,085.10","5,165.60","5,282.20","5,016.90","-","-1.56%"
"Apr 02","5,165.60","5,271.80","5,292.30","5,116.00","-","-2.01%"
"Mar 02","5,271.80","5,101.00","5,331.60","5,101.00","-","3.35%"
"Feb 02","5,101.00","5,164.80","5,238.00","5,015.50","-","-1.24%"
"Jan 02","5,164.80","5,217.40","5,362.30","5,052.80","-","-1.01%"
"Dec 01","5,217.40","5,203.60","5,411.20","5,032.30","-","0.27%"
"Nov 01","5,203.60","5,039.70","5,383.20","4,988.30","-","3.25%"
"Oct 01","5,039.70","4,903.40","5,279.80","4,730.70","-","2.78%"
"Sep 01","4,903.40","5,345.00","5,379.60","4,219.80","-","-8.26%"
"Aug 01","5,345.00","5,529.10","5,644.20","5,286.70","-","-3.33%"
"Jul 01","5,529.10","5,642.50","5,726.10","5,260.50","-","-2.01%"
"Jun 01","5,642.50","5,796.10","5,981.80","5,519.60","-","-2.65%"
"May 01","5,796.10","5,966.90","5,993.70","5,690.50","-","-2.86%"
"Apr 01","5,966.90","5,633.70","5,995.40","5,354.30","-","5.91%"
"Mar 01","5,633.70","5,917.90","6,050.40","5,279.60","-","-4.80%"
"Feb 01","5,917.90","6,297.50","6,309.90","5,901.70","-","-6.03%"
