TIME,FTSE,BCBUTE02,BRBUFT02,BRVSLV02,BSSPFT02,BVBUTE02,CCUSMA02,CP080000,CSINFT,LOCOSTNO,PIEAMI01,SLRTCR03,XTEXVA01
1999-03-01,6295.2998046875,-6.1,6.9,18.0,-25.4,10.6,32.433442905804604,48.85,14.0,99.5681305106782,79.7883354423099,81.51861699769802,-5.3852358144383885
1999-03-31,6552.2001953125,-8.80967741935484,6.1258064516129025,22.935483870967747,-16.303225806451618,-12.33548387096774,33.097087485980644,48.55967741935484,14.870967741935484,99.43735758245155,79.7883354423099,58.48429133360197,-8.874727990685768
1999-04-01,6541.333528645833,-8.9,6.1,23.1,-16.0,-13.1,33.11920897198652,48.55,14.9,99.43299848484399,79.7883354423099,57.716480478132105,-8.99104439656068
1999-04-30,6226.2001953125,-4.9366666666666665,9.386666666666667,21.456666666666663,-18.996666666666673,-12.906666666666668,32.195942206239984,48.115,22.34333333333333,99.3683782553512,79.7883354423099,53.96372088026791,-3.053647960366874
1999-05-01,6229.177608366936,-4.8,9.5,21.4,-19.1,-12.9,32.16410542121424,48.1,22.6,99.36614997157558,79.7883354423099,53.83431537689328,-2.84891015222226
1999-05-31,6318.5,-1.0258064516129033,6.887096774193549,21.883870967741935,-12.712903225806453,-13.674193548387096,33.27636017495955,47.71290322580646,16.89032258064516,99.36400354922422,79.7883354423099,55.821876140603855,-6.1011120605239375
1999-06-01,6315.613330078125,-0.9,6.8,21.9,-12.5,-13.7,33.31343533341772,47.7,16.7,99.3639320018125,79.7883354423099,55.888128166060866,-6.20951879080066
1999-06-30,6231.89990234375,-3.3166666666666664,25.746666666666666,17.84,-16.173333333333336,2.6366666666666667,33.96845806585535,47.45833333333334,17.666666666666664,99.42466022275623,79.7883354423099,54.624991030508355,-1.761334470705788
1999-07-01,6232.367644279234,-3.4,26.4,17.7,-16.3,3.2,33.991045056629055,47.45,17.7,99.4267542993405,79.7883354423099,54.58143457755826,-1.60794880449562
1999-07-31,6246.39990234375,2.890322580645161,15.851612903225806,22.441935483870967,-11.654838709677419,3.8774193548387097,32.523345543920286,48.03064516129032,15.667741935483873,99.54725387175112,79.7883354423099,42.0608460551795,6.99410234970067
1999-08-01,6239.412802419355,3.1,15.5,22.6,-11.5,3.9,32.47442222683,48.05,15.6,99.55127052416479,79.7883354423099,41.643493104433546,7.28083738817388
1999-08-31,6029.7998046875,-0.1903225806451613,24.112903225806452,21.34193548387097,-11.403225806451616,3.9967741935483874,32.7130048680164,47.71129032258065,22.470967741935482,99.71803082044669,79.7883354423099,86.14187647503435,5.764859357456675
1999-09-01,6037.329817708333,-0.3,24.4,21.3,-11.4,4.0,32.72095762272261,47.7,22.7,99.7235894969894,79.7883354423099,87.62515592072106,5.7143267564327695
1999-09-30,6255.7001953125,3.76,12.993333333333332,18.786666666666665,-10.626666666666667,12.409999999999998,31.712893587992802,46.20166666666668,15.45,99.91279503149148,79.7883354423099,52.847523062536595,5.834809038115871
1999-10-01,6266.3720703125,3.9,12.6,18.7,-10.6,12.7,31.678132759209017,46.15000000000001,15.2,99.91931936026741,79.7883354423099,51.64829434328885,5.83896359955322
1999-11-01,6597.2001953125,1.8,18.2,22.9,-6.0,12.8,32.50286440135373,46.45,23.6,100.105435207289,79.7883354423099,44.78602129432543,6.24626089455418
1999-12-01,6930.2001953125,-4.9,27.9,16.0,-11.9,12.7,32.949361623616056,46.95,17.1,100.27280890635099,79.7883354423099,20.516668776396,4.02135368659287
2000-01-01,6268.5,-1.3,18.0,20.3,-8.1,14.8,31.46813379592612,46.95,17.9,100.41441916207701,79.7883354423099,58.616653337960976,12.6897499022276
